d_month,d_year,d_row,d_organ,d_sum
12,2015,1,19,4141918
12,2015,2,19,3742459
12,2015,3,19,42799
12,2015,4,19,3696873
12,2015,5,19,56850438030.80
12,2015,6,19,32822612968.88
12,2015,1,1911,199871
12,2015,2,1911,189759
12,2015,3,1911,2496
12,2015,4,1911,187092
12,2015,5,1911,1866524518
12,2015,6,1911,1023329014.50
12,2015,1,191110,35775
12,2015,2,191110,32696
12,2015,3,191110,303
12,2015,4,191110,32294
12,2015,5,191110,350011598
12,2015,6,191110,216648436
12,2015,1,191118,15988
12,2015,2,191118,15593
12,2015,3,191118,162
12,2015,4,191118,15422
12,2015,5,191118,178137642
12,2015,6,191118,125455242
12,2015,1,191132,2353
12,2015,2,191132,2158
12,2015,3,191132,122
12,2015,4,191132,2032
12,2015,5,191132,14904415
12,2015,6,191132,10588137
12,2015,1,191134,2977
12,2015,2,191134,2789
12,2015,3,191134,61
12,2015,4,191134,2725
12,2015,5,191134,15483991
12,2015,6,191134,11473414
12,2015,1,191136,2710
12,2015,2,191136,2485
12,2015,3,191136,74
12,2015,4,191136,2404
12,2015,5,191136,13427673
12,2015,6,191136,9956591
12,2015,1,191138,4363
12,2015,2,191138,4191
12,2015,3,191138,88
12,2015,4,191138,4091
12,2015,5,191138,36595701
12,2015,6,191138,22531841
12,2015,1,191140,3393
12,2015,2,191140,3247
12,2015,3,191140,159
12,2015,4,191140,3085
12,2015,5,191140,20458952
12,2015,6,191140,14942200
12,2015,1,191144,918
12,2015,2,191144,855
12,2015,3,191144,47
12,2015,4,191144,806
12,2015,5,191144,6007486
12,2015,6,191144,4914369
12,2015,1,191145,1015
12,2015,2,191145,952
12,2015,3,191145,45
12,2015,4,191145,906
12,2015,5,191145,6409834
12,2015,6,191145,4672147
12,2015,1,191146,2946
12,2015,2,191146,2700
12,2015,3,191146,68
12,2015,4,191146,2629
12,2015,5,191146,105155918.50
12,2015,6,191146,13763530
12,2015,1,191148,3268
12,2015,2,191148,3060
12,2015,3,191148,108
12,2015,4,191148,2950
